"Year","Cited by","Link","Affiliations","Funding Details","Language of Original Document"
"2013","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897712407&partnerID=40&md5=1bda0b0e3ebe6081b813ba901852a1af","","","German"
"2019","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068719130&doi=10.1017%2fS1740022819000020&partnerID=40&md5=2cfc1eda57a0571cc5c9850e10b1f4dc","All Souls' College, Oxford, OX14AL, United Kingdom","","English"
"2013","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875808807&doi=10.1080%2f19436149.2012.755298&partnerID=40&md5=070983e1514759232e2106b93b4ad7bd","Department of History, California State University, Fullerton, CA 92834, 800 N. State College Blvd., United States","","English"
"2015","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982861783&doi=10.1558%2fjasr.v28i3.28431&partnerID=40&md5=04e7cf069d47f1d98e8a6b87b0fedfcf","The University of Western Australia, Australia","Australian Research Council, ARC, (FT100100432)","English"
"2000","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040408326&doi=10.1525%2fac.2000.11.1-2.24&partnerID=40&md5=a162654d022dc33be4a3edbc29e31172","Western Washington University, Department of Anthropology, Bellingham, WA, 98225-9083, 516 High Street, United States; Western Washington University, Department of Anthropology, Bellingham, WA, 98225-9083, 516 High Street, United States","","English"
"2007","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34948903312&partnerID=40&md5=ad9109d5af287b80795ff242cae2a541","","","English"
"2013","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134998614&doi=10.4324%2f9780203699317-20&partnerID=40&md5=d63d6152d92450725faee72c05fa912c","","","English"
"2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057657427&partnerID=40&md5=ff66f966f13454625517ebcedd4774e3","University of Toronto, Canada; Centre for Religion, Conflict and the Public Domain, University of Groningen, Netherlands; Institute for Advanced Studies in Culture, University of Virginia, United States; Bahá'í International Community, Brussels office, Belgium","","English"
"2011","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860757623&partnerID=40&md5=8cb8605328307ddaa0eb426d93b2da9c","Department of Religious Management and Cultural Studies, Ambrose Alii University, Ekpoma, Nigeria; Department of Philosophy, Ambrose Alii University, Nigeria","","English"
"2012","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871564752&doi=10.1111%2fj.1467-9809.2012.01230.x&partnerID=40&md5=ad41858e1489e66beba8eb79d277fca7","Pennsylvania State University, Pittsburgh, United States","","English"
"2012","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871547199&doi=10.1111%2fj.1467-9809.2012.01224.x&partnerID=40&md5=0bdf7b81c14b6ca7e29396153df92d30","Department of Near and Middle Eastern Civilizations, University of Toronto, Canada","","English"
"2019","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083488626&doi=10.4324%2f9781351214100-11&partnerID=40&md5=2a5379b79d6b99732604d107b159dd45","Royal Asiatic Society, United Kingdom","","English"
"2009","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095671442&doi=10.1111%2fj.1949-3606.2009.tb01110.x&partnerID=40&md5=38bcabe26921074462bb6e29bd77e7d4","Northern Michigan University, United States","","English"
"2019","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069500282&doi=10.1016%2fS2215-0366%2819%2930261-5&partnerID=40&md5=fce8961f0b4472e5fb8635bc2d972e19","Department of Public Health Sciences and Department of Psychiatry, Queen's University, Kingston, K7L 3N6, ON, Canada","","English"
"2014","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900756849&partnerID=40&md5=be82662b12d3f4a125be8e8b3b9f2988","University of Houston-Clear Lake, Houston, TX, United States","","English"
"2012","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974537965&doi=10.4324%2f9780203002803-12&partnerID=40&md5=d5e7fbe24ebeecedb5ec8cc62cf6769c","Department of Psychiatry, University of Oxford, United Kingdom; Imperial College School of Medicine, University of London, United Kingdom","","English"
"2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141588227&doi=10.1163%2f9789004376960_003&partnerID=40&md5=f6d66a4a36f383c03cc874e45c0a06fe","Munk School of Global Affairs, University of Toronto, Canada; Bahá'í Community of Canada, Canada; International Human Rights Law, University of Oxford, United Kingdom","","English"
"1987","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023315473&partnerID=40&md5=79995810774397d40946a85c13a8673a","Flint & Neill Partnership, Flint & Neill Partnership","","English"
"2005","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-61949149654&doi=10.1163%2f157338405774829386&partnerID=40&md5=20b6658706c9908730b0205c4aaf7bab","Johann Wolfgang Goethe-Universität, Frankfurt, Germany","","German"
"1999","19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033240783&doi=10.1177%2f003776899046001005&partnerID=40&md5=9f8a2b5be1a44b4a049a6df0ed70c176","University of Copenhagen, Department of History of Religions, DK-Copenhagen S., Artillerivej 86, Denmark","","English"
"2012","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886509782&doi=10.1002%2f9781444355390.ch13&partnerID=40&md5=98dcd4e4fac3838e6b73d0da6ee750d8","","","English"
"2007","8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-51049096743&doi=10.1080%2f00664670701637701&partnerID=40&md5=b8ce313e6c5f5729bbb01be7844a154e","","","English"
"2012","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871426883&doi=10.4324%2f9780203002803-13&partnerID=40&md5=69713bc457ff95c7b8d93cf69a390eb7","Iranian culture, arts, history and sociology, Iran","","English"
"2019","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059250624&doi=10.1080%2f00263206.2018.1520100&partnerID=40&md5=fcdc4830e61f760295fb9e60ee3914d5","Department of History, Bentley University, Waltham, MA, United States; Emmanuel College, Boston, MA, United States; Schusterman Center for Israel Studies, Brandeis University, Waltham, MA, United States","","English"
"2021","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144774229&doi=10.1163%2f9789004435544_040&partnerID=40&md5=bf469ad0d3e08da358d177795721f785","","","English"
"2021","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107602037&partnerID=40&md5=31ca8dd8977855cd083b6099a0af761d","University of Haifa, Israel","","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140761936&doi=10.1007%2f978-3-031-10204-2_17&partnerID=40&md5=a723d76632c48e98ff6dbb6e2240e32c","University of Hong Kong, Hong Kong; Independent Researcher, Shanghai, China","","English"
"2012","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871565950&doi=10.1111%2fj.1467-9809.2012.01227.x&partnerID=40&md5=b35e34aec8b49b3d7596084758db8fd1","University of Arizona, United States","","English"
"2015","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970950212&partnerID=40&md5=d6354f537e7d0afae2350ad94f59ed24","Comunidad Bahá'í de España, Spain","","Spanish"
"2003","22","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80755158760&doi=10.1163%2f1568519037702275601&partnerID=40&md5=073bc9c89778c1157d798598fe6bb01c","University of Tubingen","","English"
"2021","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107588246&partnerID=40&md5=94059242c3ad20b7215f06aa4be27c3f","Bochum University, Germany","","English"
"2011","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951074890&partnerID=40&md5=5d493020714fa524a8af05e8ef1456d3","","","English"
"2019","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085526761&partnerID=40&md5=aa54347bc7bc28bae4351cbfc8b5c2f9","","","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134041081&doi=10.1111%2fglob.12386&partnerID=40&md5=287d09ffffec734aa4408512499b2436","Department of Sociology, The University of Hong Kong, Hong Kong","","English"
"2021","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107599491&doi=10.3726%2fb17246&partnerID=40&md5=de3f0643f1145a3f94fef60a07b0485b","University of Haifa, Israel","","English"
"2000","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-10444220359&doi=10.1006%2freli.2000.0245&partnerID=40&md5=004aa6c2090cd97099e5f5dca06eb7c6","Department of History, University of Michigan, United States; Ctr. M. East.ern N. African Studs., University of Michigan, United States; Jt. Comm. for the Near and M. East, Social Science Research Council, United States; University of Michigan, Department of History, Ann Arbor, MI 48109-1003, United States","","English"
"2006","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-66549116224&doi=10.2307%2f25046049&partnerID=40&md5=7b0885d1847f2022416f445b29f0c843","Northern Illinois University, Department of History","","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143778172&doi=10.1080%2f17528631.2021.1924512&partnerID=40&md5=4b32e003c4178ea33a8bc587d48211bb","Independent Scholar, Retired Lecturer, History Department, UCLA, Los Angeles, CA, United States","","English"
"2007","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007848230&doi=10.1080%2f15507394.2007.10012391&partnerID=40&md5=88cf8edd0cfc1191b5fe9fcbf2ed78f2","","Foundation for the Application and Teaching of the Sciences; Fundación para la Aplicación y Enseæanza de las Ciencias","English"
"2016","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010295260&doi=10.18848%2f2154-8633%2fCGP%2fv06i02%2f61-70&partnerID=40&md5=f1494db193719278dd7ac40199c9738e","Department of Biblical Studies, University of Sheffield, Sheffield, South Yorkshire, United Kingdom","","English"
"2012","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887717280&partnerID=40&md5=a4dd231d763f8aa0ceae2a0004711227","University of Toronto, Canada","","English"
"2020","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091477501&doi=10.1163%2f15700739-07203005&partnerID=40&md5=6900bb647e7ae159c4b787157c386abb","","","German"
"2021","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107539068&partnerID=40&md5=ee85fbcf398899ae768ef3c316b55f40","University of Southampton, United Kingdom","","English"
"2021","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107546139&partnerID=40&md5=c9870c5009e8d289fa183e3bcac866d2","University of Chicago, United States","","English"
"2016","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145676673&doi=10.1057%2f978-1-137-59698-7_16&partnerID=40&md5=43f38821678bd9ff2668d58fbf9260f8","Office of External Affairs for the Australian Baha’i Community, Canberra, Australia","","English"
"2014","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898027017&partnerID=40&md5=295c7358e554496f9b82b58213145f1b","Middle East Media Research Institute (Memri), European Foundation for Democracy (EFD), United States","","English"
"2015","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942115685&doi=10.1108%2fS1572-832320150000024011&partnerID=40&md5=7ccbca5e6c9c82a6425172f383e45bcf","","","English"
"2013","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876281268&doi=10.1080%2f00210862.2012.758480&partnerID=40&md5=8192677834d01eef22bdd420e33417cd","Department of History, Western Washington University, United States","","English"
"2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131111336&partnerID=40&md5=15e8f25a0edb50193d20f295433bf343","Universities of London and Cambridge, United Kingdom; London School of Economics, United Kingdom","","English"
"2012","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900574840&partnerID=40&md5=c4983df97df83cf6149b8c859e2bee9f","Vassar College, United States","","English"
