"Year","Cited by","Link","Affiliations","Funding Details","Language of Original Document"
"2019","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048469451&doi=10.1080%2f15507394.2018.1469906&partnerID=40&md5=d8b1c86778497e68fd0b18d18ae259ba","Department of Religious Studies, Faculty of Letters, University of Tokyo, Japan","Japan Society for the Promotion of Science, JSPS, (16H03354, 26284011, JP24520063)","English"
"2017","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117378487&doi=10.1177%2f2393861717706297&partnerID=40&md5=f42d5e9ae8a484ba0fd9a41686525eb7","Department of Sociology, University of Peradeniya, Peradeniya, Sri Lanka","","English"
"2023","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148655481&doi=10.3390%2frel14020248&partnerID=40&md5=c1068fef0953759e856d8b58fedbf416","College of Liberal Arts, Temple University, Philadelphia, 19122, PA, United States","","English"
"2021","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111293240&doi=10.1163%2f22118349-01002005&partnerID=40&md5=48502a41fb1f0115b1f7d5bc4c04f783","University of Chicago, Chicago, IL, United States","","English"
"2011","10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867222092&doi=10.1163%2f18785417-00101005&partnerID=40&md5=e6d14b75f544139a752ba7c040a176cf","Canterbury Christ Church University, United Kingdom","","English"
"2014","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062075671&doi=10.1002%2f9781118610398.ch25&partnerID=40&md5=efd99336b1c28cf4c3d658e43c7d0cfa","University of Iowa, United States","","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138978255&doi=10.1163%2f15685322-10803008&partnerID=40&md5=9f48f01d4c20780c5ae4c612a22fe0a5","Renmin University of China, China","","English"
"2019","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072081832&doi=10.22162%2f2619-0990-2019-43-3-522-534&partnerID=40&md5=ca52a2fe6a911e50b872a8b742338ae9","Stavropol State Pedagogical Institute, 417A, Lenin Str., Stavropol, 355029, Russian Federation","","Russian"
"2015","7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949552974&doi=10.1179%2f1547402X15Z.00000000041&partnerID=40&md5=ab25adabf5fd52d88066949312f639a5","Duke University, United States","","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126572582&doi=10.3390%2frel13030220&partnerID=40&md5=7b224ea9a29cc25e513c5d81bb6f7c46","Chinese Studies Program, School of Social Sciences, Ateneo de Manila University, Quezon City, 1108, Philippines","","English"
