"Year","Cited by","Link","Affiliations","Funding Details","Language of Original Document"
"2009","12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955389542&doi=10.1080%2f13674670902930344&partnerID=40&md5=47d27e22fc0fd82e2303468e1fa2f4ee","Udayana University, Denpasar, Indonesia; School of Psychology, The University of Sydney, Australia","","English"
"2018","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108664070&doi=10.4324%2f9781315694160&partnerID=40&md5=592e5beb78aa4e170e619df4e788ae39","Department of Philosophy, York University, Toronto, Canada; York Center for Asian Research, York University, Toronto, Canada","","English"
"2013","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891488329&doi=10.1080%2f00856401.2013.777496&partnerID=40&md5=df3bdbfb63efe9bc3f8eb34405ed1d0a","Macquarie University, Sydney, Australia","","English"
"2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047422271&doi=10.1177%2f0020764018777523&partnerID=40&md5=b35188023ccd8c72802e2427a8c09927","Voluntary Health Services, Chennai, TN, India; Sneha Suicide Prevention Centre, Chennai, TN, India; The University of Melbourne, Melbourne, VIC, Australia; Griffith University, Nathan, QLD, Australia; Schizophrenia Research Foundation, Chennai, TN, India","","English"
"2018","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074108471&doi=10.1007%2f978-3-319-71849-1_11&partnerID=40&md5=e959ab31d9f5c10bee4a7d5442506a25","Forum for Ethics Review Committees in India, Mumbai, India","","English"
"2019","8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078858629&doi=10.1525%2fluminos.75&partnerID=40&md5=9165e45d9b7b4651ef8ae13895580848","South Asian Religions, Victoria University of Wellington, New Zealand","","English"
"2005","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071577684&doi=10.4324%2f9780203990612&partnerID=40&md5=d8f21616a47fcc6d8a680b5ad231d46f","","","English"
"2012","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920432562&doi=10.4324%2f9780203810286&partnerID=40&md5=78a49d36faecfa6fcd92a30bad437f89","University of Lethbridge, Alberta, Canada","","English"
"2015","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927518501&partnerID=40&md5=83f0e7ab41d67e7ea153ccf7f7102654","Indian Institute of Education, Pune, India","","English"
"2020","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144521126&doi=10.1163%2f9789004331471_009&partnerID=40&md5=2310c027d35f4223dc67444ee0601e2d","","","English"
"2012","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862292987&partnerID=40&md5=ff9d16bdb216760fc0156c623854cc31","Winston-Salem State University, United States","","English"
"2007","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911166655&doi=10.4324%2f9780203939734&partnerID=40&md5=644fc882af651b131f21f8d31bc59ee8","Mahatma Gandhi Center for Global Nonviolence, James Madison University, Harrisonburg, VA, United States; University of Florida, Gainesville, United States","","English"
