"Year","Cited by","Link","Affiliations","Funding Details","Language of Original Document"
"1960","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84980120726&doi=10.1111%2fj.1467-9809.1960.tb00015.x&partnerID=40&md5=2b3c9424e01e2dbff3bb2607b0666510","","","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144745238&doi=10.1163%2f9789004512597_029&partnerID=40&md5=02be5acda86f4b69dfe95f9e036954bf","Harvard University, United States","","English"
"2020","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090772116&doi=10.13154%2fer.11.2020.8556&partnerID=40&md5=fdced7790fc0df9cc1d41c5a2913340b","Ruhr-Universität Bochum, Germany","","English"
"2021","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099698164&doi=10.1163%2f9789004445468_011&partnerID=40&md5=214ce00160c9f4b52f6231e5ddcab61e","","","English"
"2008","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84882823646&doi=10.1163%2fej.9789004167223.i-578&partnerID=40&md5=fd491d7d015a58132e9451277cda4af5","Johann Wolfgang Goethe-Universität, Frankfurt am Main, Germany","","English"
"1969","62","https://www.scopus.com/inward/record.uri?eid=2-s2.0-46049095053&doi=10.2307%2f299850&partnerID=40&md5=b9c2381784e5ba654d66ff642c497d06","All Souls College, Oxford, United Kingdom","","English"
"2004","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84998795301&doi=10.1057%2f9780230524316_3&partnerID=40&md5=1dec88b8f36319dc362d221cbf98fd58","School of Continuing Studies, Indiana University, Bloomington, United States","","English"
"2001","10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-65849331788&doi=10.1163%2f157006801x00246&partnerID=40&md5=a3190919742d9c87a5f7e609e203860e","McGill University, Montreal, Canada","","English"
"2005","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857128982&doi=10.1163%2f1570072054640478&partnerID=40&md5=033a39e8f185ab0d90eb512a89d0238c","University of Helsinki, Finland; Université Laval, Canada","","English"
"2005","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102017846&partnerID=40&md5=872e1c69581cda3fcb9983fe877db772","","","French"
"2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140506176&doi=10.4324%2f9781315630052-7&partnerID=40&md5=b228f407ab557c4488f0d39018fd8149","Lehigh University, United States","","English"
"2020","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098262769&doi=10.24894%2f2673-3641.00059&partnerID=40&md5=0239e24e0b1f1b8763cf15d6355fd03a","New Georgian University, Vogelsanger Str. 107, Wetter, D-58300, Germany","","German"
"2019","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069692217&partnerID=40&md5=1237b9fdaf08960b73653f049df8ddb9","Emanuel University, Romania","","English"
"2012","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129917125&partnerID=40&md5=89bb952ef934581d26814d89480ffa49","Columbia University, New York City, United States","","English"
"1984","12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953142255&doi=10.1017%2fS0017816000014206&partnerID=40&md5=d8b9aedd5e347a6bc4e378bee8d90410","University of California, Santa Barbara, United States","","English"
