"Year","Cited by","Link","Affiliations","Funding Details","Language of Original Document"
"2011","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948404390&doi=10.1163%2fej.9789004188976.i-384.18&partnerID=40&md5=4b0178b712f06ef7cc5c4706bae1346a","CNRS-Centre D'Etudes Supérieures de la Renaissance, Université de Tours, France","","English"
"2013","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928288094&doi=10.1017%2fCBO9781139028172.022&partnerID=40&md5=6c5ba0b1428875df27bdb3086fa74d4b","","","English"
"2013","13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886677184&doi=10.1017%2fS0075435813000051&partnerID=40&md5=56f92f7f3a23727b6a7b62f45f465b2b","University of Chicago, United States","","English"
"2014","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903120796&doi=10.1016%2fB978-0-444-63292-0.00006-5&partnerID=40&md5=26cdbdad0c3d1401f4a323ab1dd11fb4","","","English"
"2005","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007995728&doi=10.1093%2fclrevj%2fbni059&partnerID=40&md5=b0ab91fcd93c8d588ca435dbcca0680d","Ilmmünster, United Kingdom","","English"
"2010","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78651318052&partnerID=40&md5=3109720975c70284ff4ec263ab8ceb02","Institut za Filozofiju, HR-10000 Zagreb, Ulica grada Vukovara 54/IV, Croatia","","Croatian"
"2006","16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901161363&doi=10.1163%2f157005906777811925&partnerID=40&md5=29b68e991a8a2c6df58314f2436a0398","","","English"
"2011","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84155192627&partnerID=40&md5=81b4077f47c105b9524755432fdf81a6","Psychology Group, Zahedshahr Branch, Islamic Azad University, Zahedshahr, Iran","","English"
"2021","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113462250&doi=10.1556%2f072.2021.00004&partnerID=40&md5=ada3985c62880d4a2671249f84c61bdd","Lucian Blaga University of Sibiu, Department of History, Patrimony and Protestant Theology, Bd. Victoriei Nr.5-7, Sibiu, 550024, Romania","Nemzeti Kutatási Fejlesztési és Innovációs Hivatal, NKFIH, (2018-2021)","English"
"1998","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983431632&doi=10.1163%2f157430198X00192&partnerID=40&md5=66eaa64e297fd6d9bf0d076b9800dead","Department of New Testament, University of South Africa, P O Box 392, Pretoria, 0003, South Africa","","English"
