"Year","Cited by","Link","Affiliations","Funding Details","Language of Original Document"
"2020","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085993002&doi=10.1007%2fs12397-020-09324-4&partnerID=40&md5=6b1481cdca97b84f8d30c400669ef05f","Bar-Ilan University, Ramat-Gan, Israel","","English"
"2023","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145674603&doi=10.1111%2flic3.12698&partnerID=40&md5=9e002f8114a88409f4e477e0794f5cb0","Institute for Advanced Study, Princeton University, Princeton, NJ, United States","","English"
"2017","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026891306&doi=10.1177%2f1468795X17691433&partnerID=40&md5=fcffc3dc337cd9b7b55272d8a1585d8a","City University of New York, United States","","English"
"2014","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897977179&doi=10.1111%2fkykl.12050&partnerID=40&md5=8a7a8d9dacb244a953113b8264ca7e3d","Institute of Public Policy and Public Choice (POLIS), University of Eastern Piedmont, Alessandria, 15100, Via Cavour 84, Italy","","English"
"2020","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079734220&doi=10.1111%2fjore.12301&partnerID=40&md5=60eb20514c395e15b875dda09b473b61","University of Notre Dame., United States","","English"
"2020","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144535536&doi=10.1163%2f9789004331471_012&partnerID=40&md5=423bf65841ac1d9fceb6e7b47bb3d970","","","English"
"2014","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083198380&doi=10.4324%2f9781315864600-11&partnerID=40&md5=fac41b6ee6bb5c7bf239e61722cced87","Australian Human Rights Centre, Australia","","English"
"2015","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983590334&partnerID=40&md5=bd8eefbae13df8cd00e36ab48f8138d6","Museum of Jewish History in Russia, Russian Federation; Center for Biblical and Jewish Studies, Russian State University for Humanities, Moscow, Russian Federation","","Russian"
"2019","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100291810&doi=10.25985%2fPI.10.2.09&partnerID=40&md5=450c9bb96bc902d46e736940dffa9dc1","Saint Petersburg State University, Russian Federation","","Russian"
"2021","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116885436&doi=10.3390%2frel12100828&partnerID=40&md5=7979e826ed0e2fb9e901885d6e809974","Department of Media and Journalism, University of Information Technology and Management in Rzeszów, Rzeszów, 35-225, Poland; Institute of Media Education and Journalism, Cardinal Stefan Wyszynski University in Warsaw, Warszawa, 01-815, Poland","","English"
"2022","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119256341&doi=10.1177%2f13684310211046425&partnerID=40&md5=5e68a49d8b2dfea2e811ea97088b142c","Tel Aviv University, Tel Aviv, Israel","","English"
"2019","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061985242&doi=10.3390%2frel10020078&partnerID=40&md5=902f86969f3ebc61990279268d2c27d5","University of Kansas, 1300 Oread Ave, Lawrence, 66046, KS, United States","","English"
"2020","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088371916&doi=10.1016%2fj.transproceed.2020.02.164&partnerID=40&md5=b0ea113a0f37f9a8e2bebcca92096d55","Department of Clinical Medicine, Medical University of Bialystok, Bialystok, Poland; Department of Nephrology, Dialysis, and Internal Medicine, Warsaw Medical University, Warsaw, Poland","","English"
"2015","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960951974&doi=10.5209%2frev-ILUR.2015.v20.50412&partnerID=40&md5=164b168ff273047e38a6db8c80fc6685","Universidad Complutense de Madrid, ORCID: 0000-0003-3673-5060, Spain","","Spanish"
"2021","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109519614&doi=10.3390%2frel12070489&partnerID=40&md5=3f9e5735ffc6470d43e83eb6f84f4f7e","Department of Jewish Philosophy, Bar-Ilan University, Ramat Gan, 5290002, Israel; Stellenbosch Institute for Advanced Study (STIAS), Wallenberg Research Centre at Stellenbosch University, Stellenbosch, 7600, South Africa","","English"
"2017","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027005592&doi=10.4000%2fpallas.7147&partnerID=40&md5=61cb015215f46140f9c14255e55c1638","CNRS, TDMAM, France","","French"
"2021","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125052226&doi=10.5325%2fjjewiethi.7.1-2.0082&partnerID=40&md5=6ac350966fa88a7beeb251a4cf423bee","University of Pretoria, South Africa","","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145819430&doi=10.34291%2fEdinost%2f77%2f02%2fLulik&partnerID=40&md5=2c7a380b0d28e30bc24a723951ef1df4","","","Slovenian"
"2009","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77949929913&partnerID=40&md5=ac805820c13924e984be4b5ef88acec3","Institute Nova Revija, 1000 Ljubljana, Cankarjeva 10b, Slovenia","","Slovenian"
"1993","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027536534&partnerID=40&md5=1ca146c9256e6bc9ef979f30493d7eb5","Reproductive Endocrinology Division, Maimonides Medical Center, Brooklyn, NY 11219, United States","","English"
"2010","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957916387&doi=10.1080%2f13639811.2010.513845&partnerID=40&md5=eb6296e22180eb587ec73f055a453a02","","","English"
"2010","15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77950865858&doi=10.1016%2fj.econedurev.2009.08.004&partnerID=40&md5=a0829d12533f62fe716d472f6e2f8b5b","DePaul University, Chicago, IL 60604, 1 East Jackson Blvd., United States","","English"
"2006","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-30444452216&doi=10.1177%2f0002764205282219&partnerID=40&md5=cde48e01b1c3875013cab576cef75a77","King's College London, United Kingdom","","English"
