@RELATION leeds

@ATTRIBUTE text   string
@ATTRIBUTE class  {CH,IS,EA,HD,BU,JU,OT,GE}

@DATA
" A001    Periodicals ", GE
" A002    Series", GE
" A003    Collected essays Festschriften etc", GE
" A004    Bibliography ", GE
" A007    Study and teaching", GE
" A019    Dictionaries and encyclopaedias ", GE
" A3        Philosophy of religion in general ", GE
" A4        History of religion origins ", GE
" B0    General commentaries", CH
" B004    Bibliography", CH
" B1    Texts and translations", CH
" B12    History of translations", CH
" B2     Concordances", CH
" B3    Dictionaries and encyclopaedias", CH
" B4    Archaeology and history as background to biblical studies otherwise Ancient History", CH
" B5    Biography", CH
" B6    Geography ", CH
" B7    Theology", CH
" B8    Literary aspects include hermeneutics", CH
" C0 General", CH
" C1 Archaeology and history as background to biblical studies", CH
" C15  Folklore of the Old T estament", CH
" C18 Geography", CH
" C2  Biography", CH
" C25 Literary aspects", CH
" C3 Theology  religion", CH
" C4 Pentateuch", CH
" C44 Genesis", CH
" C45  Exodus", CH
" C46  Leviticus", CH
" C47  Numbers", CH
" C48  Deuteronomy", CH
" C5 Historical books", CH
" C51  Joshua", CH
" C52  Judges", CH
" C53  Ruth", CH
" C54  Samuel", CH
" C55  Kings", CH
" C56  Chronicles", CH
" C57  Ezra", CH
" C58  Nehemiah", CH
" C59  Esther", CH
" C6 Poetical books", CH
" C62  Job", CH
" C63  Psalms", CH
" C65  Proverbs", CH
" C66  Ecclesiastes Kohelet", CH
" C67  Song of songs", CH
" C7 Prophets C73 Isaiah", CH
" C76  Jeremiah", CH
" C77  Lamentations", CH
" C78  Ezekiel", CH
" C79  Daniel", CH
" C8 Minor prophets", CH
" C81  Hosea", CH
" C82  Joel", CH
" C83  Amos", CH
" C84  Obadiah", CH
" C85  Jonah", CH
" C86  Micah", CH
" C865 Nahum ", CH
" C87 Habakkuk ", CH
" C875 Zephaniah ", CH
" C88 Haggai ", CH
" C885 Zechariah ", CH
" C89 Malachi", CH
" D0 General including texts", CH
" D003 Literary aspects", CH
" D005 Study  teaching", CH
" D019 Dictionaries", CH
" D1 Archaeology and history as background to biblical study", CH
" D18 Geography", CH
" D2 Biography", CH
" D3 Theology  religion", CH
" D4 Gospels", CH
" D41 Synoptic gospels", CH
"  D43 Matthew", CH
" D45 Mark", CH
" D47 Luke", CH
" D49 John", CH
" D5 Acts of the Apostles", CH
" D6 Epistles", CH
" D601 Paul", CH
" D61 Romans", CH
" D62 Corinthians", CH
" D63 Galatians", CH
" D64 Captivity epistles", CH
" D641  Ephesians", CH
" D642 Philippians", CH
" D643 Colossians Philemon", CH
" D65 Thessalonians", CH
" D66 Pastoral epistles Timothy Titus", CH
" D67 Hebrews", CH
" D68 Catholic epistles", CH
" D681 Peter", CH
" D682 John", CH
" D683 James Jude", CH
" D7 Revelation", CH
" E0 General", CH
" E004 Bibliography", CH
" E1 Old Testament", CH
" E2 New T estament", CH
" F0 General", CH
" F1 Patrology Church Fathers", CH
" F2 AnteNicene to 325 AD", CH
" F21 Apostolic and subApostolic Fathers", CH
" F23 Apologists", CH
" F231 Justin Martyr", CH
" F25 2nd–3rd centuries", CH
" F251 Tertullian", CH
" F253 Irenaeus", CH
" F255 Cyprian", CH
" F259 Minor figures", CH
" F27 Alexandrians", CH
" F271 Clement", CH
" F273 Origen", CH
" F274  Didymus", CH
" F275 Evagrius", CH
" F279 Minor figures", CH
" F3 Nicaea to Chalcedon", CH
" F31 Athanasius", CH
" F32 Cyril of Alexandria", CH
" F34 Eusebius", CH
" F36 Antiochians", CH
" F361 John Chrysostom", CH
" F363 Theodore of Mopsuestia", CH
" F365 Theodoret", CH
" F38 Cappadocians", CH
" F381 Basil of Caesarea", CH
" F383 Gregory of Nyssa", CH
" F385 Gregory of Nazianzus", CH
" F39 Minor figures", CH
" F4 Nicaea to Chalcedon", CH
" F41 Hilary of Poitiers", CH
" F43 Ambrose", CH
" F45 Jerome", CH
" F47 Augustine", CH
" F48 Pelagius and the Pelagians", CH
" F49 Minor figures", CH
" F5 Orthodox church", CH
" F51 John Damascenus", CH
" F57 Greek Orthodox", CH
" F58 Russian Orthodox", CH
" F59 Minor figures", CH
" F6 Mediaeval Western Church postChalcedon ", CH
" F604 Bibliography", CH
" F65 Late medieval", CH
" F7 Reformation", CH
" F704 Bibliography", CH
" F71 Wittenberg", CH
" F713 Luther", CH
" F715 Melanchthon", CH
" F73 South Germany", CH
" F733 Bucer", CH
" F735 Brenz", CH
