"Year","Cited by","Link","Affiliations","Funding Details","Language of Original Document"
"2005","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079576886&doi=10.4324%2f9780203985458-11&partnerID=40&md5=f19bda0725ce78f3118eb3bca957960b","School of Oriental and African Studies, University of London, United Kingdom","","English"
"2011","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923265870&doi=10.1093%2foxfordhb%2f9780195328998.003.0016&partnerID=40&md5=3c57e59cf7f040f15cf9ec9bc1df5ca5","Elizabethtown College, Elizabethtown, PA, United States","","English"
"2010","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900174469&partnerID=40&md5=a406f893b2898d2fd0a12b5e328217e6","Center for Theology and Religious Studies, Lund University, Sweden","","English"
"2020","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086663066&doi=10.1080%2f13674676.2020.1758644&partnerID=40&md5=9375854e1feebc0df242622996c09578","Department for Education Studies, University of Warwick, Coventry, United Kingdom","","English"
"2012","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905785974&doi=10.4324%2f9780203079935&partnerID=40&md5=bdfc6f630dda38bf9326b3b5badc7695","Drew University, United States","","English"
"2016","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110610554&doi=10.4324%2f9781315643922-23&partnerID=40&md5=b7d421a4dafb976a715e8603643c1efe","University of California, Santa Barbara, United States","","English"
"2008","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883936662&doi=10.1016%2fB978-012373985-8.00059-3&partnerID=40&md5=28f7787893b331ea5f69e1d54f74d1ae","University of Gloucestershire, Cheltenham, United Kingdom","","English"
"2020","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103234853&doi=10.15407%2fORIENTW2020.03.165&partnerID=40&md5=a2a0e14318ec0bae4d85957bba62f84b","H. S. Skovoroda Institute of Philosophy, NAS of Ukraine, 4, Tryokhsviatitelska Str., Kyiv, 01001, Ukraine","","Russian"
"2010","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011721522&partnerID=40&md5=137ae41c2d473dc2833090e98ea966a9","","","English"
"2012","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868694705&doi=10.1080%2f17448727.2012.730322&partnerID=40&md5=3f08941a8165340a03ae2f0cd3472a08","","","English"
"2017","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082497144&partnerID=40&md5=28211000f653324a7805743387620ef2","Department of Theology, University of Birmingham, United Kingdom","","English"
"2013","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937562637&partnerID=40&md5=93eb1091fdce71f1b4bb44d39cdc5ba2","Lund University, Sweden","","English"
"2014","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061082677&doi=10.4324%2f9781315771625-13&partnerID=40&md5=d4bd9ed223d75b4a49ec646485ca9928","Department of Religious Studies, Yale University, United States","","English"
"2013","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890052021&partnerID=40&md5=dd0783f69a435dae12565406775596e5","Montclair State University, Montclair, NJ, United States","","English"
