"Year","Cited by","Link","Affiliations","Funding Details","Language of Original Document"
"2012","19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937801771&doi=10.1163%2f22118349-12341236&partnerID=40&md5=9f7766f4e0d2b2ea9202eac1d913b9af","International Research Center for Japanese Studies, Kyoto, Japan","","English"
"2002","27","https://www.scopus.com/inward/record.uri?eid=2-s2.0-60949726613&partnerID=40&md5=355e912a2408a95054c83a63509d0615","","","English"
"2008","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041673886&doi=10.1002%2f9781405166614.ch10&partnerID=40&md5=794241caf1515ef0ddaff2c339c1dd6e","Seigakuin University, Japan","","English"
"2003","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071074531&doi=10.4324%2f9780203220252-16&partnerID=40&md5=5bf4ca377b798fb52c02dc5411c0b727","School of Oriental and African Studies, University of London, United Kingdom","","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126933203&doi=10.3390%2frel13030257&partnerID=40&md5=cb1201358fe7a645d3936778942c255c","Department of East Asian Languages and Cultural Studies, University of California Santa Barbara, Santa Barbara, 93106, CA, United States","Andrew W. Mellon Foundation, AWMF; Social Science Research Council, SSRC","English"
"2013","37","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84917048486&doi=10.4324%2f9780203066614&partnerID=40&md5=ccf7e57b14f1e98747ed4eced5e8159b","Institute of Religious Studies, University of Leipzig, Germany","","English"
"2010","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953957332&doi=10.1525%2fnr.2010.14.1.67&partnerID=40&md5=d29a0d68163ae77c35af17e04174a1df","Department of Religious Studies, San Diego State University, San Diego, CA 92182-6062, 5500 Campanile Dr., United States","","English"
"2021","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105108579&doi=10.1080%2f13537903.2021.1889796&partnerID=40&md5=2add4380f2cf8e68973c5ab070f2efea","University of London, in 2018, Tenri University, Tenri University, 1050 Somanouchi, Tenri, 632-8510, Nara, Japan","Japanese Religion in France; School of Oriental & African Studies; School’s Department of Religions and Philosophies; Tenrikyo Europe Centre; Tenrikyo Overseas Department; British Sociological Association, BSA","English"
"2020","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089966114&doi=10.1111%2frec3.12376&partnerID=40&md5=af1e4858dedccc09ea5a34b3c978febe","Department of English and IT, Shumei University, Yachiyo, Japan; Shumei Representative, Chaucer College, Canterbury, United Kingdom","","English"
"2009","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966538946&partnerID=40&md5=fa2516b05643ea5cfa670c5eca4f626d","Kingston University, United Kingdom","","English"
"2008","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901513622&partnerID=40&md5=7edf6807e27f3d217f1c46dff3a6ecb7","San Diego State University, United States","","English"
"2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063770295&doi=10.18874%2fjjrs.45.2.2018.269-307&partnerID=40&md5=dc1bef5057f7582f12abb4b8d0c1d10e","Faculty of International Research and Education, Waseda University, Japan","Japan Society for the Promotion of Science, JSPS, (18K00964, 26770220)","English"
"2012","19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928062139&doi=10.1163%2f221183412X628398&partnerID=40&md5=355c00bff72eb77535a750fc18818926","University of Leipzig, Leipzig, Germany","","English"
"2011","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015340868&doi=10.1057%2f9780230336681&partnerID=40&md5=e586f89a8f5ff6fd2dedf5a60f02241d","University of Otago, New Zealand","","English"
"2017","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041374426&doi=10.1163%2f22118349-00602006&partnerID=40&md5=2e028c124f6a9f7a2506d2843699960f","Hokkaido University, Sapporo, Japan","","English"
"2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059389715&doi=10.1163%2f22118349-00702001&partnerID=40&md5=25fd93850c17553eeb457a7526042ca6","Bucknell University, Lewisburg, PA, United States","","English"
"2000","13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034585606&doi=10.1023%2fA%3a1010361019006&partnerID=40&md5=08888c95d4c04c1eb58131495223b631","","Cultural Affairs and Missions Sector, Ministry of Higher Education","English"
"2009","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923238124&doi=10.1093%2foxfordhb%2f9780195170214.003.0005&partnerID=40&md5=7f26c33bbb06096e47cf9ed65605bf89","Center for Religious Studies, University of Missouri-Kansas City, United States","","English"
"2021","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137774368&doi=10.18874%2fjjrs.48.2.2021.365-382&partnerID=40&md5=4d1ed0a3d73e8dd0a509f3e3d445dca1","Tsukuba University, Japan","","English"
"2020","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090633828&doi=10.3390%2frel11080397&partnerID=40&md5=400dba783742fff18a0ef8959c46e0dd","Department of Religious Studies, University of Texas at Austin, Austin, 78712-1090, TX, United States","","English"
"2010","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067376298&partnerID=40&md5=b0d92bed4e431d7f8715ba7a4bb5b6cc","Dept of Sociology, Bukkyo University, Kyoto Kasei Women's College, Japan","","English"
"2023","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148656672&doi=10.1017%2fS0026749X22000087&partnerID=40&md5=77bde9d047b5a19a4a94eb62eb54c1eb","Centre for Asian and Transcultural Studies, Heidelberg University, Heidelberg, Germany","","English"
"2015","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958622206&doi=10.4324%2f9781315767246&partnerID=40&md5=03e1be0c9a54466993ae55d32a4b1a9a","Berea College, United States","","English"
"2017","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128486194&doi=10.4324%2f9781315746678-11&partnerID=40&md5=c686affaaf183960224c0189433afe5b","","","English"
"2016","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958568836&doi=10.1111%2fzygo.12233&partnerID=40&md5=24185e20dcfdf638ff45ae19cb74afa7","Kokoro Research Center, Kyoto University, Kyoto, Japan","","English"
"2010","16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911089257&doi=10.4324%2f9780203831229&partnerID=40&md5=12687bd3d818796b0853cec5457d0e4c","University of Otago, New Zealand; Manchester, United Kingdom","","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148210522&doi=10.15055%2f00007913&partnerID=40&md5=7dd9cbae34babf68c4952638c0e57c1e","","","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127054833&doi=10.1080%2f15570274.2022.2031056&partnerID=40&md5=e0f5984865121219340af096194037c6","Centre for Multidisciplinary Research on Religion and Society, Uppsala University, Sweden","Gustaf Forsell; Uppsala Universitet; Templeton Religion Trust","English"
"2010","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983579887&doi=10.1002%2f9781444317190&partnerID=40&md5=0a4ab5d76d0240f95e7e587c5c8d8999","","","English"
"2005","18","https://www.scopus.com/inward/record.uri?eid=2-s2.0-60950268177&partnerID=40&md5=49bcb6f05a804ba6548b50ee864ef81e","Department of Religious Studies, Japan Women's University","","English"
"1989","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950947640&doi=10.1080%2f09555808908721356&partnerID=40&md5=4a712c4b9bbc2f9ede4ff7e20cc7c8ab","","","English"
"2017","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049966565&doi=10.4324%2f9781315111063&partnerID=40&md5=4001026d6beed2c80e9f891097b9222a","","","English"
"2012","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920433754&doi=10.4324%2f9780203084861&partnerID=40&md5=51289ed10352dcb1200b3f6117264b9e","University of Otago, New Zealand","","English"
"2013","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886351634&doi=10.1002%2f9781118529911.ch16&partnerID=40&md5=225c2d91ad46f34e0edf2e614c146369","University of Lund, Sweden","","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149343981&doi=10.1002%2f9781119424420.ch19&partnerID=40&md5=e6d5d6a4446933ed4680b1125011d540","University of Leeds, United Kingdom","","English"
"1996","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745945010&doi=10.1080%2f0034408960910207&partnerID=40&md5=5d983c0d4c2c35cfeff04b98c7870ad0","Toyosawa Church","","English"
"2010","10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955502662&doi=10.18874%2fjjrs.37.1.2010.47-74&partnerID=40&md5=2a5ccc064eba8bb6ceff3b1967681be0","Organization for the Advancement of Research and Development, Kokugakuin University, Japan","","English"
"2011","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84455189304&doi=10.4000%2fetudesafricaines.16839&partnerID=40&md5=70fdfcc199dd0f82b513a3e96471850e","Centre D'Études Africaines, UMR 194, EHESS-IRD, France","","French"
"2019","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064977137&doi=10.1163%2f15685276-12341537&partnerID=40&md5=ce66af6a7bac4faa79c1dc35718cddd2","Nanzan Institute for Religion and Culture, Nanzan University, Japan","","English"
"2012","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865836769&doi=10.1353%2fmni.2012.0015&partnerID=40&md5=96666bfd839b3fdf5bc44b598f496e82","","","English"
"1995","7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33748610367&doi=10.1006%2freli.1995.0021&partnerID=40&md5=42cd8c462f603f1e7280798c995c9391","Study of Religions Dept, Bath College of HE, Bath, BA2 9BN, Newton Park, United Kingdom","","English"
"2019","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068062227&doi=10.1163%2f22118349-00703010&partnerID=40&md5=7fc0c55080ec45ab2428bf2c068b2078","Bucknell University, Lewisburg, PA, United States; University of Arizona, Tucson, United States","","English"
"2007","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34347386733&doi=10.1163%2f146481707793646656&partnerID=40&md5=b8cd600ff782e35b5975052d78c7a21a","Hokkai-Gakuen University, Sapporo, Japan","","English"
"2007","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-68949112267&doi=10.1093%2facprof%3aoso%2f9780195176452.003.0010&partnerID=40&md5=fd576c6861527336b03ac1f785a07e3c","Department of Theology and Religious Studies, University of San Francisco, United States","","English"
"2021","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118824815&doi=10.3390%2frel12100884&partnerID=40&md5=d7971fd5df60bf78103f342aa987887f","Institute of Buddhist Studies, Graduate Theological Union, Berkeley, 94709, CA, United States","","English"
"2021","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122782928&doi=10.15407%2fskhodoznavstvo2021.88.157&partnerID=40&md5=740939fe6540be4c9b166b26b2948727","A. Yu. Krymskyi Institute of Oriental Studies, NAS of Ukraine, 4, Hrushevskoho Str, Kyiv, 01001, Ukraine","","Ukrainian"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123254541&doi=10.3390%2frel13020093&partnerID=40&md5=cd397e5385fc040db4a01b8bf1a708d9","Department of Foreign Languages, Faculty of Language and Literature, Bunkyo University, Koshigaya City, 343-8511, Japan","","English"
"2021","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096832253&doi=10.1017%2fS1755048320000619&partnerID=40&md5=43c27423d1fe8609ed1b7f4303189e85","University of North Texas","","English"
"2007","8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-61149539688&doi=10.1080%2f01416200601037494&partnerID=40&md5=1b69c6641d3b84d9bfe106c0edf4cccf","Taisho University, Japan; Taisho University, Toshima, Tokyo 170-8470, Nishisugamo 3-20-1, Japan","","English"
"2010","14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953150944&doi=10.1353%2fsof.2010.0049&partnerID=40&md5=792709f7b7c9bf91118a4e302e905a80","Department of Philosophy and Religious Studies, NQ211, Ball State University, Muncie, IN 47306, United States","Society for the Scientific Study of Religion; National Science Foundation, NSF, (0727088); University of Texas at Austin; Religious Research Association, RRA","English"
"2021","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130329874&doi=10.1163%2f22118349-20210001&partnerID=40&md5=0ccaa62b148ff205f09ab98ccc39c445","Harvard University, Cambridge, MA, United States","Medical Research Council, MRC, (MC_U137686850)","English"
"2010","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883021666&partnerID=40&md5=5f56bf79506f58bd95e1a8501285d0f3","Graduate School of Humanities and Social Sciences, University of Tsukuba, Japan","","English"
"2014","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939812775&doi=10.1163%2f22118349-00301002&partnerID=40&md5=a9ecfa0af5fa2565321a0378d6a03898","Shimane University, Matsue, and the Osaka Institute of Technology, Osaka, Japan","","English"
"2004","15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-60950238980&doi=10.18874%2fjjrs.31.2.2004.389-415&partnerID=40&md5=ff6175c6f649feb5abfb1af367065e85","Reischauer Institute, Department of Japanese Religions and Society, Harvard University","","English"
"2021","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099282825&doi=10.3390%2frel12010019&partnerID=40&md5=e539bf21a7d74246ca5ccc338edb243b","Graduate School of International Media, Communication, and Tourism Studies, Hokkaido University, Sapporo, 060-0817, Japan","Hokkaido University, HU","English"
"1962","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861107463&doi=10.1163%2f156852762X00143&partnerID=40&md5=5a6e8cfdf326f9d7950e3a38403b14c3","","","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145484677&doi=10.6092%2fissn.2036-1602%2f14753&partnerID=40&md5=5ff287a460fe0b246076bb4562fb63d5","Temple University, United States","","English"
