"Year","Cited by","Link","Affiliations","Funding Details","Language of Original Document"
"2009","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-65549122836&doi=10.1016%2fS1016-3190%2809%2960017-3&partnerID=40&md5=5d8b60a81866db955045577d793c17f1","College of Medical Humanities and Social Sciences, Chung Shan Medical University, Taichung, Taiwan","","English"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135229848&doi=10.3969%2fj.issn.1001-7003.2022.06.017&partnerID=40&md5=872754b37aea646df1ad1477c0f36be0","College of Fashion Henan, Institute of Science and Technology, Xinxiang, 453000, China","","Chinese"
"2010","143","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77649334378&partnerID=40&md5=bb142f26f4d439456d5d354c4152afaa","Rehabilitation Psychology Program, Illinois Institute of Technology, Chicago, IL 60616, 3105 S. Dearborn Street, United States; Hong Kong Polytechnic University, Hong Kong; University of Toledo, United States; Rutgers University, United States; Chinese Academy of Sciences, China; Beijing Normal University, China","","English"
"2010","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940504029&doi=10.1093%2facprof%3aoso%2f9780195143607.003.0013&partnerID=40&md5=34aefabedc9331bce25559cdb31d1e18","University of Chicago, Divinity School, 1025-35 E. 58th Street, Chicago, 60637, IL, United States","","English"
"2019","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076559477&doi=10.1111%2firom.12294&partnerID=40&md5=f88f58ebabfa43dcfc55e69d1854be18","Institute of World Religions, Chinese Academy of Social Sciences, Beijing, China; Universities of Helsinki, Nanjing, and Union Theological Seminary, Finland; University of Cambridge, United Kingdom","","English"
"2012","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029815394&partnerID=40&md5=cc9f5512b105e7136a54e2ccf48991e3","Moscow, Russian Federation","","Russian"
"2022","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136085066&doi=10.1080%2f00131857.2022.2112031&partnerID=40&md5=5b9979ceeb80d408e2d9c2f625245baf","Department of Education & Institute of Schooling Reform and Development, Faculty of Education, East China Normal University, Shanghai, China","","English"
"2012","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875185009&partnerID=40&md5=7894b9d5b78a23894ab4aadd4d4bccd7","Vilniaus Gedimino Technikos Universitetas, Lithuania","","Lithuanian"
"1975","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0016482223&doi=10.1111%2fj.1467-9744.1975.tb00537.x&partnerID=40&md5=ed87873820e452f884494d1e15ca8935","University of California, Berkeley, United States","","English"
"2003","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84909123388&doi=10.4324%2f9780203496572&partnerID=40&md5=2f8c072ef90cb5be21e7a454cd3daed8","IRSEA (Institute for Research on South-East Asia), CNRS (French National Centre for Scientific Research), Marseilles, France","","English"
"2009","150","https://www.scopus.com/inward/record.uri?eid=2-s2.0-58249134459&doi=10.1080%2f07481180802440431&partnerID=40&md5=5cf88e6b96c01cc4fbaabdae36c97bd6","School of Nursing and Midwifery, Monash University, Australia; Department of Nursing, Palliative Care, School of Nursing Midwifery, Monash University, Australia; School of Nursing and Midwifery, Building e, Peninsula Campus, Frankston, VIC 3199, McMahons Rd., Australia","","English"
"2021","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104771755&doi=10.4324%2f9780429324161-11&partnerID=40&md5=55c3ca8913bf329640d05456c678c87a","Department of International Education, The Education University of Hong Kong, Hong Kong; Centre for Religious and Spirituality Education, The Education University of Hong Kong, Hong Kong","","English"
"2001","15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035495691&doi=10.1177%2f08943180122108490&partnerID=40&md5=5bdeb8bf9c8c9e88a9a76af1dab8df7f","College of Nursing Science, Ewha Women's University, Seoul, South Korea","","English"
"2010","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011774870&partnerID=40&md5=66a24773b5bcb2d836a91819b6e7989c","Department of Religious Studies, University of Nairobi, Kenya","","English"
"2017","11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034219882&doi=10.1080%2f19388160.2017.1397579&partnerID=40&md5=069f3b104f8a31b47c7646d50dcb5efd","Department of Marketing, Griffith University, Gold Coast, Australia","Griffith University, (44724)","English"
"2018","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048239913&doi=10.1163%2f15685357-02201100&partnerID=40&md5=ed3f30028cebbaaa23f95992b9008bfb","Manufacturing Institute, Arizona State University, Tempe, AZ, United States","","English"
"2021","7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106686120&doi=10.1177%2f00221678211016957&partnerID=40&md5=2831528a579921675ce498f7241d310f","School of Psychology, Nanjing Normal University, Nanjing, Jiangsu, China","Fifth 333 High-Level Talents Cultivation Project of Jiangsu Province; National Natural Science Foundation of China, NSFC, (31971014)","English"
"2021","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108410320&doi=10.1108%2fIMR-11-2020-0274&partnerID=40&md5=b8febbe9437e593fca9d65fffe09f0b9","Department of Marketing, University of Central Oklahoma, Edmond, OK, United States; School of Management and Economics, North China University of Water Resources and Electric Power, Zhengzhou, China; Department of Marketing, New Mexico State University, Las Cruces, NM, United States; Department of Marketing, City University of Hong Kong, Kowloon, Hong Kong","City University of Hong Kong, (11502218); Research Grants Council, University Grants Committee, RGC, UGC","English"
"2003","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1842611364&partnerID=40&md5=942c487f36168ba8087704f825c66fe9","University of Wisconsin-Whitewater, United States","","English"
"1977","7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34248004025&doi=10.1007%2fBF00249484&partnerID=40&md5=47f31fbd645b564581946e5d101df4f7","","","English"
"2010","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650899976&doi=10.4028%2fwww.scientific.net%2fAMM.37-38.1407&partnerID=40&md5=65b3bd957e69ca9930b9fe29329affe5","School of Design, Jiangnan University, Wuxi, Jiangsu Province 214122, 1800 Lihu Road, China","","English"
"1994","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945775917&doi=10.2753%2fCSA0009-4625260337&partnerID=40&md5=52d025fc5e202639f6131399ac38b080","","","English"
"1996","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951786969&doi=10.1080%2f07491409.1996.11089818&partnerID=40&md5=fc30aca6cd60c3bdc4c25a17d68fe963","Kent State University, United States; School of Communication Studies, Kent State University, United States","","English"
"1980","21","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974327480&doi=10.2307%2f2054674&partnerID=40&md5=7abc08e519ea7f70514e23e7ba49bf43","Stanford University, United States","","English"
"2014","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906672000&partnerID=40&md5=7c6b0632bb146c96e109979d8db2c90d","Vilniaus Dailes Akademija, Lithuania","","Lithuanian"
"2009","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77649291666&doi=10.4000%2frfp.1755&partnerID=40&md5=f8add0bde0922c5b55eb052cdc531f09","","","French"
"2016","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023159672&doi=10.5840%2fenviroethics20163812&partnerID=40&md5=7767eb119138286761669cefd9e8b6ab","Center for General Education, Tzu Chi University, No. 701, Sec. 3, Zhongyang Road, Hualien, 97004, Taiwan","","English"
"2021","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075020732&doi=10.1080%2f01490400.2019.1686444&partnerID=40&md5=0e8052baf665b5333a1494f5156bf334","Institute of Tourism and Leisure, Zhejiang University, Hangzhou, China; Department of Tourism Management, Guangxi International Business Vocational College, Nanning, Guangxi, China","","English"
"2020","8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084428321&doi=10.3390%2fijerph17093304&partnerID=40&md5=9d5ae34c3dbe117bb130229eeebae406","Department of Sports Science and Physical Education, The Chinese University of Hong Kong, Hong Kong; School of Physical Education, Jinan University, Guangzhou, 510632, Guangdong, China","","English"
"2012","11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891585355&doi=10.1002%2f9781444361995&partnerID=40&md5=0d2bf723e429714248926e599280b0d3","Department of Religion, Trinity University, San Antonio, TX, United States","","English"
